Product_code,Vendor_code,Name,Retail_price,Base_unit,Country_of_Origin,Size,ABV
3288,Zagovor,Kees x Zagovor - Vapour Trail 0.33,480.0,Pieces,Russia,0.33,11.6
2699,Kees,"Kees You Can't Buy Happiness 0,Can",480.0,Pieces,Netherlands,0.33,11.7
3420,Kees,Kees Zeeuwse Bolus Stout 0.33,430.0,Pieces,Netherlands,0.33,10.0
2029,Kees,Kees Amerikan Barli Uajn/American Barley Wine,1040.0,Liters,Netherlands,1.0,11.5
2040,Kees,Kees Barrel prodzhekt 18.01,500.0,Pieces,Netherlands,0.33,10.5
2042,Kees,Kees Barrel prodzhekt Level 2,540.0,Pieces,Netherlands,0.33,13.5
714,Kees,Kees Vi Hevi Skotch/Wee Heavy Scotch,350.0,Pieces,Netherlands,0.33,9.5
2039,Kees,Kees Dabl IPA,420.0,Pieces,Netherlands,0.33,8.9
56,Kees,Kees NE AKTUAL'NO,,,Netherlands,,
1560,Kees,Kees Strauberrifilds/Strawberryfields,800.0,Liters,Netherlands,1.0,6.0
2041,Kees,Kees Handred,420.0,Pieces,Netherlands,0.33,12.0
4336,Kees,Kees Eksport Porter 1750 Barrel,1120.0,Liters,Netherlands,1.0,10.5
76,,Kerisac,,,,,
214,Kerisac,"Kerisac / Bouche Breton Brut Traditionnel / cider brut / 5,5% / 0,75 / but",600.0,Pieces,France,0.75,5.5
215,Kerisac,"Kerisac / Bouche Breton Cuvee Speciale Brut Traditionnel / cider brut / 5,5% / 0,75 / but",600.0,Pieces,France,0.75,5.5
1018,,"Kerisac Cidre & Fruits Rouges 0,75 3%",630.0,Pieces,,0.75,3.0
1672,,Kerisac Cidre D'automne / 2.0% / 0.75l,550.0,Pieces,,0.75,2.0
3932,,Kerisac Cuvée Spéciale - Brut - Cidre Bouché Breton,1.0,Pieces,,0.75,5.0
4391,Kombucha,Kombucha Live Brew Cold Brewtiful 0.33,200.0,Pieces,Russia,,
4395,Kombucha,Kombucha Live Brew Earl Yellow 0.33,200.0,Pieces,Russia,,
4396,Kombucha,Kombucha Live Brew Evert Thyme 0.33,200.0,Pieces,Russia,,
4527,Kombucha,Kombucha Live Brew Fall In Lavender 0.33,200.0,Pieces,Russia,,
4393,Kombucha,Kombucha Live Brew Forever Ivan 2 0.33,200.0,Pieces,Russia,,
5042,Kombucha,Kombucha Live Brew Gaba 0.33,200.0,Pieces,Russia,,
5358,Kombucha,Kombucha Live Brew Ginger Punch 0.33,200.0,Pieces,Russia,,
4394,Kombucha,Kombucha Live Brew Green Greeb 0.33,180.0,Pieces,Russia,,
4822,Kombucha,Kombucha Live Brew Hop Off 0.33,200.0,Pieces,Russia,,
4772,Kombucha,Kombucha Live Brew Hop On 0.33,200.0,Pieces,Russia,,
4617,Kombucha,Kombucha Live Brew Kill Billberry,200.0,Pieces,Russia,,
4525,Kombucha,Kombucha Live Brew Oh My Green 0.33,200.0,Pieces,Russia,,
